"Duration","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
790,"2018-12-01 00:00:44","2018-12-01 00:13:54",31203,"14th & Rhode Island Ave NW",31116,"California St & Florida Ave NW","W21477","Member"
771,"2018-12-01 00:00:55","2018-12-01 00:13:46",31203,"14th & Rhode Island Ave NW",31116,"California St & Florida Ave NW","W22810","Member"
775,"2018-12-01 00:00:55","2018-12-01 00:13:51",31203,"14th & Rhode Island Ave NW",31116,"California St & Florida Ave NW","W21144","Member"
750,"2018-12-01 00:01:08","2018-12-01 00:13:39",31203,"14th & Rhode Island Ave NW",31116,"California St & Florida Ave NW","W23321","Member"
146,"2018-12-01 00:02:45","2018-12-01 00:05:11",31124,"14th & Irving St NW",31102,"11th & Kenyon St NW","W22304","Member"
358,"2018-12-01 00:04:56","2018-12-01 00:10:54",31506,"1st & Rhode Island Ave NW",31281,"8th & O St NW","W22676","Member"
831,"2018-12-01 00:06:00","2018-12-01 00:19:52",31202,"14th & R St NW",31653,"7th & K St NW","W22394","Member"
112,"2018-12-01 00:06:13","2018-12-01 00:08:06",31641,"2nd St & Massachusetts Ave NE",31612,"D St & Maryland Ave NE","W22027","Member"
1024,"2018-12-01 00:07:02","2018-12-01 00:24:07",31107,"Lamont & Mt Pleasant NW",31229,"New Hampshire Ave & T St NW","W00592","Member"
251,"2018-12-01 00:07:51","2018-12-01 00:12:03",31631,"8th & F St NE",31623,"Columbus Circle / Union Station","W23939","Member"
620,"2018-12-01 00:08:24","2018-12-01 00:18:44",31223,"Convention Center / 7th & M St NW",31223,"Convention Center / 7th & M St NW","W21353","Member"
483,"2018-12-01 00:09:06","2018-12-01 00:17:10",31636,"New Jersey Ave & N St NW/Dunbar HS",31286,"11th & O St NW","W23924","Member"
487,"2018-12-01 00:09:07","2018-12-01 00:17:14",31636,"New Jersey Ave & N St NW/Dunbar HS",31286,"11th & O St NW","W23697","Member"
906,"2018-12-01 00:09:21","2018-12-01 00:24:27",31224,"19th & L St NW",31101,"14th & V St NW","W20258","Casual"
98,"2018-12-01 00:09:58","2018-12-01 00:11:36",31124,"14th & Irving St NW",31123,"14th & Girard St NW","W20199","Member"
294,"2018-12-01 00:10:36","2018-12-01 00:15:30",31245,"7th & R St NW / Shaw Library",31268,"12th & U St NW","W23414","Member"
378,"2018-12-01 00:10:55","2018-12-01 00:17:13",31636,"New Jersey Ave & N St NW/Dunbar HS",31286,"11th & O St NW","W00539","Casual"
240,"2018-12-01 00:11:16","2018-12-01 00:15:16",31400,"Georgia & New Hampshire Ave NW",31115,"Columbia Rd & Georgia Ave NW","W20167","Member"
561,"2018-12-01 00:11:19","2018-12-01 00:20:40",31620,"5th & F St NW",31615,"6th & H St NE","W22590","Member"
403,"2018-12-01 00:11:44","2018-12-01 00:18:27",31278,"18th & R St NW",31203,"14th & Rhode Island Ave NW","W23585","Member"
1567,"2018-12-01 00:11:58","2018-12-01 00:38:06",31127,"22nd & H St NW",31248,"Smithsonian-National Mall / Jefferson Dr & 12th St SW","W20095","Casual"
503,"2018-12-01 00:12:10","2018-12-01 00:20:33",32045,"Shady Grove Metro West",32038,"King Farm Blvd & Piccard Dr","W20373","Member"
417,"2018-12-01 00:12:49","2018-12-01 00:19:47",31203,"14th & Rhode Island Ave NW",31110,"20th St & Florida Ave NW","W22558","Member"
409,"2018-12-01 00:12:50","2018-12-01 00:19:40",31104,"Adams Mill & Columbia Rd NW",31649,"14th & Newton St NW","W23850","Member"
180,"2018-12-01 00:13:25","2018-12-01 00:16:26",31101,"14th & V St NW",31119,"14th & Belmont St NW","W23115","Member"
755,"2018-12-01 00:13:41","2018-12-01 00:26:17",31034,"N Randolph St & Fairfax Dr",31030,"Lee Hwy & N Adams St","W00077","Member"
415,"2018-12-01 00:13:58","2018-12-01 00:20:53",31648,"Potomac Ave & Half St SW",31609,"Maine Ave & 7th St SW","W23665","Member"
351,"2018-12-01 00:14:35","2018-12-01 00:20:27",31110,"20th St & Florida Ave NW",31201,"15th & P St NW","W01430","Member"
200,"2018-12-01 00:14:39","2018-12-01 00:17:59",31126,"11th & Girard St NW",31651,"11th & Park Rd NW","W22382","Member"
579,"2018-12-01 00:15:03","2018-12-01 00:24:43",31519,"1st & O St NW",31201,"15th & P St NW","W23637","Member"
565,"2018-12-01 00:15:20","2018-12-01 00:24:45",31519,"1st & O St NW",31201,"15th & P St NW","W23648","Member"
295,"2018-12-01 00:16:18","2018-12-01 00:21:13",31201,"15th & P St NW",31125,"15th & W St NW","W22699","Member"
1665,"2018-12-01 00:16:43","2018-12-01 00:44:28",31314,"34th & Water St NW",31263,"10th & K St NW","W00710","Member"
22722,"2018-12-01 00:17:41","2018-12-01 06:36:23",31125,"15th & W St NW",31125,"15th & W St NW",70151,"Member"
539,"2018-12-01 00:17:50","2018-12-01 00:26:49",31221,"18th & M St NW",31241,"Thomas Circle","W20906","Member"
666,"2018-12-01 00:18:22","2018-12-01 00:29:28",31278,"18th & R St NW",31266,"11th & M St NW","W21589","Member"
716,"2018-12-01 00:19:28","2018-12-01 00:31:25",31270,"8th & D St NW",31622,"13th & D St NE","W00256","Member"
121,"2018-12-01 00:19:48","2018-12-01 00:21:50",31123,"14th & Girard St NW",31126,"11th & Girard St NW","W23909","Member"
213,"2018-12-01 00:21:24","2018-12-01 00:24:57",31114,"18th St & Wyoming Ave NW",31299,"Connecticut Ave & R St NW","W23183","Member"
746,"2018-12-01 00:21:26","2018-12-01 00:33:53",31312,"Wisconsin Ave & O St NW",31214,"17th & Corcoran St NW","W21342","Member"
656,"2018-12-01 00:21:52","2018-12-01 00:32:48",31252,"21st St & Pennsylvania Ave NW",31312,"Wisconsin Ave & O St NW","W23851","Member"
507,"2018-12-01 00:21:52","2018-12-01 00:30:20",31213,"17th & K St NW",31281,"8th & O St NW","W23000","Casual"
225,"2018-12-01 00:22:05","2018-12-01 00:25:50",31119,"14th & Belmont St NW",31229,"New Hampshire Ave & T St NW","W23656","Member"
595,"2018-12-01 00:22:22","2018-12-01 00:32:18",31200,"Massachusetts Ave & Dupont Circle NW",31268,"12th & U St NW","E00139","Member"
613,"2018-12-01 00:22:36","2018-12-01 00:32:49",31214,"17th & Corcoran St NW",31120,"10th & Florida Ave NW","W22922","Member"
1887,"2018-12-01 00:23:57","2018-12-01 00:55:24",31037,"Ballston Metro / N Stuart & 9th St N",31068,"Columbia Pike & S Dinwiddie St / Arlington Mill Community Center","W00831","Member"
740,"2018-12-01 00:24:48","2018-12-01 00:37:09",31408,"Takoma Metro",32049,"Washington Adventist U / Flower Ave & Division St","W22317","Member"
